"referencing_table","referencing_column","referenced_table","referenced_column"
SMtbl_Securable,ApplicationID,SMaspnet_Membership,ApplicationId
SMaspnet_Applications,ApplicationId,SMaspnet_Membership,ApplicationId
SMtbl_GlobalSetting,ApplicationID,SMaspnet_Membership,ApplicationId
SMtbl_ChildComponent,ApplicationID,SMaspnet_Membership,ApplicationId
SMaspnet_Paths,ApplicationId,SMaspnet_Membership,ApplicationId
SMtbl_Component,ApplicationId,SMaspnet_Membership,ApplicationId
SMtbl_SubModule,ApplicationId,SMaspnet_Membership,ApplicationId
view_UserProfile,UserID,SMaspnet_Membership,UserId
SMtbl_UserImageProfile,USERID,SMaspnet_Membership,UserId
SMaspnet_PersonalizationPerUser,UserId,SMaspnet_Membership,UserId
SMtbl_UserProfile,UserID,SMaspnet_Membership,UserId
SMaspnet_Profile,UserId,SMaspnet_Membership,UserId
SMaspnet_UsersInRoles,UserId,SMaspnet_Membership,UserId
SMaspnet_Users,UserId,SMaspnet_Membership,UserId
SMtbl_Forms,ModuleID,SMRoleAccessAssignment,ModuleID
SMtbl_RolesInApplication,RoleId,SMRoleAccessAssignment,RoleID
SMaspnet_UsersInRoles,RoleId,SMRoleAccessAssignment,RoleID
SMaspnet_Roles,RoleId,SMRoleAccessAssignment,RoleID
SMtbl_Securable,RoleId,SMRoleAccessAssignment,RoleID
SMaspnet_Users,ApplicationId,SMRoleAccessAssignment,ApplicationID
SMtbl_RolesInApplication,ApplicationId,SMRoleAccessAssignment,ApplicationID
SMaspnet_Membership,ApplicationId,SMRoleAccessAssignment,ApplicationID
SMtbl_Module,ApplicationId,SMRoleAccessAssignment,ApplicationID
SMaspnet_Roles,ApplicationId,SMRoleAccessAssignment,ApplicationID
SMtbl_Securable,ApplicationID,SMRoleAccessAssignment,ApplicationID
SMaspnet_Applications,ApplicationId,SMRoleAccessAssignment,ApplicationID
SMtbl_GlobalSetting,ApplicationID,SMRoleAccessAssignment,ApplicationID
SMtbl_ChildComponent,ApplicationID,SMRoleAccessAssignment,ApplicationID
SMaspnet_Paths,ApplicationId,SMRoleAccessAssignment,ApplicationID
SMtbl_Component,ApplicationId,SMRoleAccessAssignment,ApplicationID
SMtbl_SubModule,ApplicationId,SMRoleAccessAssignment,ApplicationID
SMtbl_Component,ComponentID,SMRoleAccessAssignment,ComponentID
SMtbl_Securable,ComponentID,SMRoleAccessAssignment,ComponentID
TDN,OwnerId,temptblExtractingName,OwnerId
aOwner,OwnerId,temptblExtractingName,OwnerId
tempTDN,OwnerId,temptblExtractingName,OwnerId
view_MachineApraisal,OwnerId,temptblExtractingName,OwnerId
View_PrintTaxDecCity,OwnerId,temptblExtractingName,OwnerId
TOSsysdiagrams,principal_id,sysdiagrams,principal_id
SMsysdiagrams,principal_id,sysdiagrams,principal_id
TOSsysdiagrams,diagram_id,sysdiagrams,diagram_id
SMsysdiagrams,diagram_id,sysdiagrams,diagram_id
TDNMachineDetail,ActualUseid,ABuildingAssessmentLevel,Actualuseid
TDNBuildingSucceedingFloor,ActualUseId,ABuildingAssessmentLevel,Actualuseid
TDN,ActualUseId,ABuildingAssessmentLevel,Actualuseid
ALandAdjustment,ActualUseID,ABuildingAssessmentLevel,Actualuseid
TDNHistory,ActualUseID,ABuildingAssessmentLevel,Actualuseid
TDNLandDetail,ActualUseId,ABuildingAssessmentLevel,Actualuseid
TDNBackTax,ActualUseId,ABuildingAssessmentLevel,Actualuseid
View_PrintTaxDecCity,ActualUseId,ABuildingAssessmentLevel,Actualuseid
ASubClassification,ActualUseId,ABuildingAssessmentLevel,Actualuseid
ABuildingDepreciation,ActualUseID,ABuildingAssessmentLevel,Actualuseid
tempTDN,ActualUseId,ABuildingAssessmentLevel,Actualuseid
view_MachineApraisal,ActualUseId,ABuildingAssessmentLevel,Actualuseid
SMaspnet_Users,ApplicationId,SMtbl_Module,ApplicationId
SMtbl_RolesInApplication,ApplicationId,SMtbl_Module,ApplicationId
SMaspnet_Membership,ApplicationId,SMtbl_Module,ApplicationId
SMRoleAccessAssignment,ApplicationID,SMtbl_Module,ApplicationId
SMaspnet_Roles,ApplicationId,SMtbl_Module,ApplicationId
SMtbl_Securable,ApplicationID,SMtbl_Module,ApplicationId
SMaspnet_Applications,ApplicationId,SMtbl_Module,ApplicationId
SMtbl_GlobalSetting,ApplicationID,SMtbl_Module,ApplicationId
SMtbl_ChildComponent,ApplicationID,SMtbl_Module,ApplicationId
SMaspnet_Paths,ApplicationId,SMtbl_Module,ApplicationId
SMtbl_Component,ApplicationId,SMtbl_Module,ApplicationId
SMtbl_SubModule,ApplicationId,SMtbl_Module,ApplicationId
TDNMachineDetail,ActualUseid,ABuildingDepreciation,ActualUseID
TDNBuildingSucceedingFloor,ActualUseId,ABuildingDepreciation,ActualUseID
TDN,ActualUseId,ABuildingDepreciation,ActualUseID
ALandAdjustment,ActualUseID,ABuildingDepreciation,ActualUseID
TDNHistory,ActualUseID,ABuildingDepreciation,ActualUseID
TDNLandDetail,ActualUseId,ABuildingDepreciation,ActualUseID
TDNBackTax,ActualUseId,ABuildingDepreciation,ActualUseID
View_PrintTaxDecCity,ActualUseId,ABuildingDepreciation,ActualUseID
ASubClassification,ActualUseId,ABuildingDepreciation,ActualUseID
ABuildingAssessmentLevel,Actualuseid,ABuildingDepreciation,ActualUseID
tempTDN,ActualUseId,ABuildingDepreciation,ActualUseID
view_MachineApraisal,ActualUseId,ABuildingDepreciation,ActualUseID
SMtbl_GlobalSetting,ClientID,SMtbl_Client,ClientID
SMtbl_ChildComponent,ClientID,SMtbl_Client,ClientID
view_UserProfile,UserID,SMaspnet_Profile,UserId
SMtbl_UserImageProfile,USERID,SMaspnet_Profile,UserId
SMaspnet_PersonalizationPerUser,UserId,SMaspnet_Profile,UserId
SMtbl_UserProfile,UserID,SMaspnet_Profile,UserId
SMaspnet_Membership,UserId,SMaspnet_Profile,UserId
SMaspnet_UsersInRoles,UserId,SMaspnet_Profile,UserId
SMaspnet_Users,UserId,SMaspnet_Profile,UserId
SMaspnet_Users,ApplicationId,SMtbl_GlobalSetting,ApplicationID
SMtbl_RolesInApplication,ApplicationId,SMtbl_GlobalSetting,ApplicationID
SMaspnet_Membership,ApplicationId,SMtbl_GlobalSetting,ApplicationID
SMRoleAccessAssignment,ApplicationID,SMtbl_GlobalSetting,ApplicationID
SMtbl_Module,ApplicationId,SMtbl_GlobalSetting,ApplicationID
SMaspnet_Roles,ApplicationId,SMtbl_GlobalSetting,ApplicationID
SMtbl_Securable,ApplicationID,SMtbl_GlobalSetting,ApplicationID
SMaspnet_Applications,ApplicationId,SMtbl_GlobalSetting,ApplicationID
SMtbl_ChildComponent,ApplicationID,SMtbl_GlobalSetting,ApplicationID
SMaspnet_Paths,ApplicationId,SMtbl_GlobalSetting,ApplicationID
SMtbl_Component,ApplicationId,SMtbl_GlobalSetting,ApplicationID
SMtbl_SubModule,ApplicationId,SMtbl_GlobalSetting,ApplicationID
SMtbl_Client,ClientID,SMtbl_GlobalSetting,ClientID
SMtbl_ChildComponent,ClientID,SMtbl_GlobalSetting,ClientID
ABuildingCeiling,StrucTypeId,ABuildingBeam,StrucTypeId
ABuildingColumns,StrucTypeId,ABuildingBeam,StrucTypeId
ABuildingDoor,StrucTypeId,ABuildingBeam,StrucTypeId
ABuildingElectrical,StrucTypeId,ABuildingBeam,StrucTypeId
ABuildingExteriorWalls,StrucTypeId,ABuildingBeam,StrucTypeId
ABuildingToiletBath,StrucTypeId,ABuildingBeam,StrucTypeId
ABuildingTrussFraming,StrucTypeId,ABuildingBeam,StrucTypeId
ABuildingWallFinish,StrucTypeId,ABuildingBeam,StrucTypeId
ABuildingWallsPartitions,StrucTypeId,ABuildingBeam,StrucTypeId
ABuildingWindow,StrucTypeId,ABuildingBeam,StrucTypeId
ABuildingFixtures,StrucTypeId,ABuildingBeam,StrucTypeId
ABuildingFlooring,StrucTypeId,ABuildingBeam,StrucTypeId
ABuildingFoundation,StrucTypeId,ABuildingBeam,StrucTypeId
ABuildingPlumbingSewer,StrucTypeId,ABuildingBeam,StrucTypeId
ABuildingRoofing,StrucTypeid,ABuildingBeam,StrucTypeId
ABuildingStairs,StrucTypeId,ABuildingBeam,StrucTypeId
CoOwners,TDNID,stagtbl,TDNID
View_TDNCoOwners,TDNID,stagtbl,TDNID
TDNPreviousARP,TDNID,stagtbl,TDNID
TDNMachine,TDNID,stagtbl,TDNID
TDNPreviousPIN,TDNID,stagtbl,TDNID
view_TDNSearchLookUpCityBased,TDNID,stagtbl,TDNID
view_TDNSearchLookUpProvinceBased,TDNID,stagtbl,TDNID
view_TDNTaxDecProvince,TDNID,stagtbl,TDNID
view_TaxDecDetail,TDNID,stagtbl,TDNID
CertifiedTrueCopyTable,TDNID,stagtbl,TDNID
view_TDNTaxDecCity,TDNID,stagtbl,TDNID
TDN_Attachment,TDNID,stagtbl,TDNID
View_FAASBuilding,TDNId,stagtbl,TDNID
TDNDetail,TDNId,stagtbl,TDNID
TDN_Images,TDNID,stagtbl,TDNID
View_FAASImprovement,TDNId,stagtbl,TDNID
TDNBaseValueAdjustment,TDNId,stagtbl,TDNID
View_TDNLandBackTax,TDNID,stagtbl,TDNID
TDNLand,TDNID,stagtbl,TDNID
TDNBackTax,TDNID,stagtbl,TDNID
TDNBuilding,TDNID,stagtbl,TDNID
View_PrintTaxDecProvince,TDNID,stagtbl,TDNID
tempMachdb,TDNID,stagtbl,TDNID
TDNFAASSketch,TDNID,stagtbl,TDNID
ImageCache,TDNID,stagtbl,TDNID
TDNHistory,TDNID,stagtbl,TDNID
View_TDNLandDetail,TDNID,stagtbl,TDNID
View_TDNLandAppraisal,TDNID,stagtbl,TDNID
view_MachineApraisal,TDNID,stagtbl,TDNID
View_TDNDetail,TDNId,stagtbl,TDNID
View_TDNBuildingDetail,TDNID,stagtbl,TDNID
View_PrintTaxDecCity,TDNID,stagtbl,TDNID
TOStempQuarterlyRPTC,TDNID,stagtbl,TDNID
View_DemolishedProp,TDNID,stagtbl,TDNID
TDN,TDNID,stagtbl,TDNID
view_TDNLandImprovements,TDNID,stagtbl,TDNID
tempTDN,TDNID,stagtbl,TDNID
ABuildingBeam,StrucTypeId,ABuildingCeiling,StrucTypeId
ABuildingColumns,StrucTypeId,ABuildingCeiling,StrucTypeId
ABuildingDoor,StrucTypeId,ABuildingCeiling,StrucTypeId
ABuildingElectrical,StrucTypeId,ABuildingCeiling,StrucTypeId
ABuildingExteriorWalls,StrucTypeId,ABuildingCeiling,StrucTypeId
ABuildingToiletBath,StrucTypeId,ABuildingCeiling,StrucTypeId
ABuildingTrussFraming,StrucTypeId,ABuildingCeiling,StrucTypeId
ABuildingWallFinish,StrucTypeId,ABuildingCeiling,StrucTypeId
ABuildingWallsPartitions,StrucTypeId,ABuildingCeiling,StrucTypeId
ABuildingWindow,StrucTypeId,ABuildingCeiling,StrucTypeId
ABuildingFixtures,StrucTypeId,ABuildingCeiling,StrucTypeId
ABuildingFlooring,StrucTypeId,ABuildingCeiling,StrucTypeId
ABuildingFoundation,StrucTypeId,ABuildingCeiling,StrucTypeId
ABuildingPlumbingSewer,StrucTypeId,ABuildingCeiling,StrucTypeId
ABuildingRoofing,StrucTypeid,ABuildingCeiling,StrucTypeId
ABuildingStairs,StrucTypeId,ABuildingCeiling,StrucTypeId
SMaspnet_Users,ApplicationId,SMtbl_ChildComponent,ApplicationID
SMtbl_RolesInApplication,ApplicationId,SMtbl_ChildComponent,ApplicationID
SMaspnet_Membership,ApplicationId,SMtbl_ChildComponent,ApplicationID
SMRoleAccessAssignment,ApplicationID,SMtbl_ChildComponent,ApplicationID
SMtbl_Module,ApplicationId,SMtbl_ChildComponent,ApplicationID
SMaspnet_Roles,ApplicationId,SMtbl_ChildComponent,ApplicationID
SMtbl_Securable,ApplicationID,SMtbl_ChildComponent,ApplicationID
SMaspnet_Applications,ApplicationId,SMtbl_ChildComponent,ApplicationID
SMtbl_GlobalSetting,ApplicationID,SMtbl_ChildComponent,ApplicationID
SMaspnet_Paths,ApplicationId,SMtbl_ChildComponent,ApplicationID
SMtbl_Component,ApplicationId,SMtbl_ChildComponent,ApplicationID
SMtbl_SubModule,ApplicationId,SMtbl_ChildComponent,ApplicationID
SMtbl_Client,ClientID,SMtbl_ChildComponent,ClientID
SMtbl_GlobalSetting,ClientID,SMtbl_ChildComponent,ClientID
ABuildingBeam,StrucTypeId,ABuildingColumns,StrucTypeId
ABuildingCeiling,StrucTypeId,ABuildingColumns,StrucTypeId
ABuildingDoor,StrucTypeId,ABuildingColumns,StrucTypeId
ABuildingElectrical,StrucTypeId,ABuildingColumns,StrucTypeId
ABuildingExteriorWalls,StrucTypeId,ABuildingColumns,StrucTypeId
ABuildingToiletBath,StrucTypeId,ABuildingColumns,StrucTypeId
ABuildingTrussFraming,StrucTypeId,ABuildingColumns,StrucTypeId
ABuildingWallFinish,StrucTypeId,ABuildingColumns,StrucTypeId
ABuildingWallsPartitions,StrucTypeId,ABuildingColumns,StrucTypeId
ABuildingWindow,StrucTypeId,ABuildingColumns,StrucTypeId
ABuildingFixtures,StrucTypeId,ABuildingColumns,StrucTypeId
ABuildingFlooring,StrucTypeId,ABuildingColumns,StrucTypeId
ABuildingFoundation,StrucTypeId,ABuildingColumns,StrucTypeId
ABuildingPlumbingSewer,StrucTypeId,ABuildingColumns,StrucTypeId
ABuildingRoofing,StrucTypeid,ABuildingColumns,StrucTypeId
ABuildingStairs,StrucTypeId,ABuildingColumns,StrucTypeId
view_UserProfile,UserID,SMaspnet_UsersInRoles,UserId
SMtbl_UserImageProfile,USERID,SMaspnet_UsersInRoles,UserId
SMaspnet_PersonalizationPerUser,UserId,SMaspnet_UsersInRoles,UserId
SMtbl_UserProfile,UserID,SMaspnet_UsersInRoles,UserId
SMaspnet_Membership,UserId,SMaspnet_UsersInRoles,UserId
SMaspnet_Profile,UserId,SMaspnet_UsersInRoles,UserId
SMaspnet_Users,UserId,SMaspnet_UsersInRoles,UserId
SMtbl_RolesInApplication,RoleId,SMaspnet_UsersInRoles,RoleId
SMRoleAccessAssignment,RoleID,SMaspnet_UsersInRoles,RoleId
SMaspnet_Roles,RoleId,SMaspnet_UsersInRoles,RoleId
SMtbl_Securable,RoleId,SMaspnet_UsersInRoles,RoleId
CoOwners,TDNID,view_TDNLandImprovements,TDNID
View_TDNCoOwners,TDNID,view_TDNLandImprovements,TDNID
TDNPreviousARP,TDNID,view_TDNLandImprovements,TDNID
TDNMachine,TDNID,view_TDNLandImprovements,TDNID
TDNPreviousPIN,TDNID,view_TDNLandImprovements,TDNID
view_TDNSearchLookUpCityBased,TDNID,view_TDNLandImprovements,TDNID
view_TDNSearchLookUpProvinceBased,TDNID,view_TDNLandImprovements,TDNID
view_TDNTaxDecProvince,TDNID,view_TDNLandImprovements,TDNID
view_TaxDecDetail,TDNID,view_TDNLandImprovements,TDNID
CertifiedTrueCopyTable,TDNID,view_TDNLandImprovements,TDNID
view_TDNTaxDecCity,TDNID,view_TDNLandImprovements,TDNID
TDN_Attachment,TDNID,view_TDNLandImprovements,TDNID
View_FAASBuilding,TDNId,view_TDNLandImprovements,TDNID
TDNDetail,TDNId,view_TDNLandImprovements,TDNID
TDN_Images,TDNID,view_TDNLandImprovements,TDNID
View_FAASImprovement,TDNId,view_TDNLandImprovements,TDNID
TDNBaseValueAdjustment,TDNId,view_TDNLandImprovements,TDNID
View_TDNLandBackTax,TDNID,view_TDNLandImprovements,TDNID
TDNLand,TDNID,view_TDNLandImprovements,TDNID
TDNBackTax,TDNID,view_TDNLandImprovements,TDNID
TDNBuilding,TDNID,view_TDNLandImprovements,TDNID
View_PrintTaxDecProvince,TDNID,view_TDNLandImprovements,TDNID
tempMachdb,TDNID,view_TDNLandImprovements,TDNID
TDNFAASSketch,TDNID,view_TDNLandImprovements,TDNID
ImageCache,TDNID,view_TDNLandImprovements,TDNID
TDNHistory,TDNID,view_TDNLandImprovements,TDNID
View_TDNLandDetail,TDNID,view_TDNLandImprovements,TDNID
View_TDNLandAppraisal,TDNID,view_TDNLandImprovements,TDNID
view_MachineApraisal,TDNID,view_TDNLandImprovements,TDNID
View_TDNDetail,TDNId,view_TDNLandImprovements,TDNID
View_TDNBuildingDetail,TDNID,view_TDNLandImprovements,TDNID
View_PrintTaxDecCity,TDNID,view_TDNLandImprovements,TDNID
TOStempQuarterlyRPTC,TDNID,view_TDNLandImprovements,TDNID
View_DemolishedProp,TDNID,view_TDNLandImprovements,TDNID
TDN,TDNID,view_TDNLandImprovements,TDNID
stagtbl,TDNID,view_TDNLandImprovements,TDNID
tempTDN,TDNID,view_TDNLandImprovements,TDNID
ABuildingBeam,StrucTypeId,ABuildingDoor,StrucTypeId
ABuildingCeiling,StrucTypeId,ABuildingDoor,StrucTypeId
ABuildingColumns,StrucTypeId,ABuildingDoor,StrucTypeId
ABuildingElectrical,StrucTypeId,ABuildingDoor,StrucTypeId
ABuildingExteriorWalls,StrucTypeId,ABuildingDoor,StrucTypeId
ABuildingToiletBath,StrucTypeId,ABuildingDoor,StrucTypeId
ABuildingTrussFraming,StrucTypeId,ABuildingDoor,StrucTypeId
ABuildingWallFinish,StrucTypeId,ABuildingDoor,StrucTypeId
ABuildingWallsPartitions,StrucTypeId,ABuildingDoor,StrucTypeId
ABuildingWindow,StrucTypeId,ABuildingDoor,StrucTypeId
ABuildingFixtures,StrucTypeId,ABuildingDoor,StrucTypeId
ABuildingFlooring,StrucTypeId,ABuildingDoor,StrucTypeId
ABuildingFoundation,StrucTypeId,ABuildingDoor,StrucTypeId
ABuildingPlumbingSewer,StrucTypeId,ABuildingDoor,StrucTypeId
ABuildingRoofing,StrucTypeid,ABuildingDoor,StrucTypeId
ABuildingStairs,StrucTypeId,ABuildingDoor,StrucTypeId
CoOwners,TDNID,tempTDN,TDNID
View_TDNCoOwners,TDNID,tempTDN,TDNID
TDNPreviousARP,TDNID,tempTDN,TDNID
TDNMachine,TDNID,tempTDN,TDNID
TDNPreviousPIN,TDNID,tempTDN,TDNID
view_TDNSearchLookUpCityBased,TDNID,tempTDN,TDNID
view_TDNSearchLookUpProvinceBased,TDNID,tempTDN,TDNID
view_TDNTaxDecProvince,TDNID,tempTDN,TDNID
view_TaxDecDetail,TDNID,tempTDN,TDNID
CertifiedTrueCopyTable,TDNID,tempTDN,TDNID
view_TDNTaxDecCity,TDNID,tempTDN,TDNID
TDN_Attachment,TDNID,tempTDN,TDNID
View_FAASBuilding,TDNId,tempTDN,TDNID
TDNDetail,TDNId,tempTDN,TDNID
TDN_Images,TDNID,tempTDN,TDNID
View_FAASImprovement,TDNId,tempTDN,TDNID
TDNBaseValueAdjustment,TDNId,tempTDN,TDNID
View_TDNLandBackTax,TDNID,tempTDN,TDNID
TDNLand,TDNID,tempTDN,TDNID
TDNBackTax,TDNID,tempTDN,TDNID
TDNBuilding,TDNID,tempTDN,TDNID
View_PrintTaxDecProvince,TDNID,tempTDN,TDNID
tempMachdb,TDNID,tempTDN,TDNID
TDNFAASSketch,TDNID,tempTDN,TDNID
ImageCache,TDNID,tempTDN,TDNID
TDNHistory,TDNID,tempTDN,TDNID
View_TDNLandDetail,TDNID,tempTDN,TDNID
View_TDNLandAppraisal,TDNID,tempTDN,TDNID
view_MachineApraisal,TDNID,tempTDN,TDNID
View_TDNDetail,TDNId,tempTDN,TDNID
View_TDNBuildingDetail,TDNID,tempTDN,TDNID
View_PrintTaxDecCity,TDNID,tempTDN,TDNID
TOStempQuarterlyRPTC,TDNID,tempTDN,TDNID
View_DemolishedProp,TDNID,tempTDN,TDNID
TDN,TDNID,tempTDN,TDNID
stagtbl,TDNID,tempTDN,TDNID
view_TDNLandImprovements,TDNID,tempTDN,TDNID
view_TDNSearchLookUpCityBased,BarangayId,tempTDN,BarangayId
view_TDNSearchLookUpProvinceBased,BarangayId,tempTDN,BarangayId
aBarangay,BarangayId,tempTDN,BarangayId
view_MachineApraisal,BarangayId,tempTDN,BarangayId
View_PrintTaxDecCity,BarangayId,tempTDN,BarangayId
TDN,BarangayId,tempTDN,BarangayId
TDN,OwnerId,tempTDN,OwnerId
aOwner,OwnerId,tempTDN,OwnerId
temptblExtractingName,OwnerId,tempTDN,OwnerId
view_MachineApraisal,OwnerId,tempTDN,OwnerId
View_PrintTaxDecCity,OwnerId,tempTDN,OwnerId
TDN,TDNModeId,tempTDN,TDNModeId
view_MachineApraisal,TDNModeId,tempTDN,TDNModeId
View_PrintTaxDecCity,TDNModeId,tempTDN,TDNModeId
ATDNMode,TDNModeId,tempTDN,TDNModeId
TDNMachineDetail,ClassificationId,tempTDN,ClassificationId
TDN,ClassificationId,tempTDN,ClassificationId
temp_PStreetAssessment,ClassificationID,tempTDN,ClassificationId
PStreetAssessment,ClassificationID,tempTDN,ClassificationId
ALandAdjustment,ClassificationID,tempTDN,ClassificationId
AMachineAssessmentLevel,ClassificationId,tempTDN,ClassificationId
TDNLandDetail,ClassificationID,tempTDN,ClassificationId
TDNBackTax,Classificationid,tempTDN,ClassificationId
AActualUse,ClassificationID,tempTDN,ClassificationId
View_PrintTaxDecCity,ClassificationId,tempTDN,ClassificationId
ASubClassification,ClassificationId,tempTDN,ClassificationId
PStreetOld,ClassificationID,tempTDN,ClassificationId
View_StreetAssessment,ClassificationId,tempTDN,ClassificationId
View_TDNLandAppraisal,ClassificationId,tempTDN,ClassificationId
view_MachineApraisal,ClassificationId,tempTDN,ClassificationId
TDNMachineDetail,ActualUseid,tempTDN,ActualUseId
TDNBuildingSucceedingFloor,ActualUseId,tempTDN,ActualUseId
TDN,ActualUseId,tempTDN,ActualUseId
ALandAdjustment,ActualUseID,tempTDN,ActualUseId
TDNHistory,ActualUseID,tempTDN,ActualUseId
TDNLandDetail,ActualUseId,tempTDN,ActualUseId
TDNBackTax,ActualUseId,tempTDN,ActualUseId
View_PrintTaxDecCity,ActualUseId,tempTDN,ActualUseId
ASubClassification,ActualUseId,tempTDN,ActualUseId
ABuildingAssessmentLevel,Actualuseid,tempTDN,ActualUseId
ABuildingDepreciation,ActualUseID,tempTDN,ActualUseId
view_MachineApraisal,ActualUseId,tempTDN,ActualUseId
TDN,PreviousId,tempTDN,PreviousId
view_MachineApraisal,PreviousId,tempTDN,PreviousId
View_PrintTaxDecCity,PreviousId,tempTDN,PreviousId
TDNTEMP,PreviousId,tempTDN,PreviousId
TDNCancelledFrom,PreviousId,tempTDN,PreviousId
TDN,ExemptClassId,tempTDN,ExemptClassId
view_MachineApraisal,ExemptClassId,tempTDN,ExemptClassId
View_PrintTaxDecCity,ExemptClassId,tempTDN,ExemptClassId
TDNTEMP,ExemptClassId,tempTDN,ExemptClassId
view_TDNTaxDecCity,ExemptClassId,tempTDN,ExemptClassId
view_TDNTaxDecProvince,StreetId,tempTDN,StreetId
PStreet,StreetId,tempTDN,StreetId
View_TDNLandBackTax,StreetID,tempTDN,StreetId
TDNSubdivisionTempTable,StreetId,tempTDN,StreetId
view_MachineApraisal,StreetId,tempTDN,StreetId
View_PrintTaxDecCity,StreetId,tempTDN,StreetId
View_StreetAssessment,StreetId,tempTDN,StreetId
TDN,StreetId,tempTDN,StreetId
TDN,CityMunID,tempTDN,CityMunID
view_MachineApraisal,CityMunID,tempTDN,CityMunID
View_PrintTaxDecCity,CityMunID,tempTDN,CityMunID
TDN,SketchId,tempTDN,SketchId
view_MachineApraisal,SketchId,tempTDN,SketchId
View_PrintTaxDecCity,SketchId,tempTDN,SketchId
TDNTEMP,SketchId,tempTDN,SketchId
ASketch,SketchId,tempTDN,SketchId
QuarterlyTable,UserId,tempTDN,UserId
QuarterlyTableActive,UserId,tempTDN,UserId
TOSReservedRPTOPNum,UserID,tempTDN,UserId
ORHistoryPATAS,UserID,tempTDN,UserId
QuarterlyTableOld,UserId,tempTDN,UserId
TDNSubdivisionTempTable,UserID,tempTDN,UserId
PUser,UserId,tempTDN,UserId
view_MachineApraisal,UserId,tempTDN,UserId
View_PrintTaxDecCity,UserId,tempTDN,UserId
TDNTEMP,UserId,tempTDN,UserId
ORHistory,UserID,tempTDN,UserId
QuarterlyTableCancelled,UserId,tempTDN,UserId
UserORStatus,UserID,tempTDN,UserId
TDN,UserId,tempTDN,UserId
ABuildingBeam,StrucTypeId,ABuildingElectrical,StrucTypeId
ABuildingCeiling,StrucTypeId,ABuildingElectrical,StrucTypeId
ABuildingColumns,StrucTypeId,ABuildingElectrical,StrucTypeId
ABuildingDoor,StrucTypeId,ABuildingElectrical,StrucTypeId
ABuildingExteriorWalls,StrucTypeId,ABuildingElectrical,StrucTypeId
ABuildingToiletBath,StrucTypeId,ABuildingElectrical,StrucTypeId
ABuildingTrussFraming,StrucTypeId,ABuildingElectrical,StrucTypeId
ABuildingWallFinish,StrucTypeId,ABuildingElectrical,StrucTypeId
ABuildingWallsPartitions,StrucTypeId,ABuildingElectrical,StrucTypeId
ABuildingWindow,StrucTypeId,ABuildingElectrical,StrucTypeId
ABuildingFixtures,StrucTypeId,ABuildingElectrical,StrucTypeId
ABuildingFlooring,StrucTypeId,ABuildingElectrical,StrucTypeId
ABuildingFoundation,StrucTypeId,ABuildingElectrical,StrucTypeId
ABuildingPlumbingSewer,StrucTypeId,ABuildingElectrical,StrucTypeId
ABuildingRoofing,StrucTypeid,ABuildingElectrical,StrucTypeId
ABuildingStairs,StrucTypeId,ABuildingElectrical,StrucTypeId
SMtbl_AuditTrail,AuditId,SMAuditTrail,AuditID
SMAuditTrailDetail,AuditID,SMAuditTrail,AuditID
ABuildingBeam,StrucTypeId,ABuildingExteriorWalls,StrucTypeId
ABuildingCeiling,StrucTypeId,ABuildingExteriorWalls,StrucTypeId
ABuildingColumns,StrucTypeId,ABuildingExteriorWalls,StrucTypeId
ABuildingDoor,StrucTypeId,ABuildingExteriorWalls,StrucTypeId
ABuildingElectrical,StrucTypeId,ABuildingExteriorWalls,StrucTypeId
ABuildingToiletBath,StrucTypeId,ABuildingExteriorWalls,StrucTypeId
ABuildingTrussFraming,StrucTypeId,ABuildingExteriorWalls,StrucTypeId
ABuildingWallFinish,StrucTypeId,ABuildingExteriorWalls,StrucTypeId
ABuildingWallsPartitions,StrucTypeId,ABuildingExteriorWalls,StrucTypeId
ABuildingWindow,StrucTypeId,ABuildingExteriorWalls,StrucTypeId
ABuildingFixtures,StrucTypeId,ABuildingExteriorWalls,StrucTypeId
ABuildingFlooring,StrucTypeId,ABuildingExteriorWalls,StrucTypeId
ABuildingFoundation,StrucTypeId,ABuildingExteriorWalls,StrucTypeId
ABuildingPlumbingSewer,StrucTypeId,ABuildingExteriorWalls,StrucTypeId
ABuildingRoofing,StrucTypeid,ABuildingExteriorWalls,StrucTypeId
ABuildingStairs,StrucTypeId,ABuildingExteriorWalls,StrucTypeId
SMaspnet_Users,ApplicationId,SMaspnet_Paths,ApplicationId
SMtbl_RolesInApplication,ApplicationId,SMaspnet_Paths,ApplicationId
SMaspnet_Membership,ApplicationId,SMaspnet_Paths,ApplicationId
SMRoleAccessAssignment,ApplicationID,SMaspnet_Paths,ApplicationId
SMtbl_Module,ApplicationId,SMaspnet_Paths,ApplicationId
SMaspnet_Roles,ApplicationId,SMaspnet_Paths,ApplicationId
SMtbl_Securable,ApplicationID,SMaspnet_Paths,ApplicationId
SMaspnet_Applications,ApplicationId,SMaspnet_Paths,ApplicationId
SMtbl_GlobalSetting,ApplicationID,SMaspnet_Paths,ApplicationId
SMtbl_ChildComponent,ApplicationID,SMaspnet_Paths,ApplicationId
SMtbl_Component,ApplicationId,SMaspnet_Paths,ApplicationId
SMtbl_SubModule,ApplicationId,SMaspnet_Paths,ApplicationId
SMaspnet_PersonalizationAllUsers,PathId,SMaspnet_Paths,PathId
SMaspnet_PersonalizationPerUser,PathId,SMaspnet_Paths,PathId
